tokenId,seller,buyer,amount,contractAddress,id
564,60d38778adbbeeac88f741b833cbb9877228eea0,b8903d33924b10b9cda7fd9505e395f1ae0b8532,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xba5a23b3a2bd25edd3607e0a64677b86f5adc2e2b07be6d88d46398ab657ad82-30
182,8e23b400c603e1fd0990b69d7734531f6a0db334,f0658281cd1eab7fdfd57760379fc0b35e499486,1e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb9827858b720f3c22ec022edbc2e5cd9669cc1a7c57e799b9670afa0e6dc9118-71
130,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,3.82e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xae47d1992aa8e704d08a1c7fbe26c04a6709fc34396c9f95c2f3b41338fd1735-33
131,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,6853a596d6d7264d3622546da3b891b6fe17eb82,3.82e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf9d29e2099ab0b4a78c80f079ad9cce47821f2c750e7ae6a84d0e2b1e5796288-69
132,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,7dec37c03ea5ca2c47ad2509be6abaf8c63cdb39,3.82e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x89558a0471b0f3bff5bf46c408bce64369896edce5859e95786b14965e4d53f8-53
609,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,6853a596d6d7264d3622546da3b891b6fe17eb82,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf503fc473c0c0b0828794d2e1fa2f85654012240bbe1d90cbdd4ebe74ca8bceb-55
612,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,79f7c440b359dece7f2a74813a94c36e3aba740e,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x33eef7d6cc663bfbf382d318c6f38beabe646b2f85ae4ac1d90e2c9b602f569f-110
611,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,c1ccf7456fd640473c383468df2c18a2e3d68ea5,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x3ab71ac4e306317a7e1674d2c71ddefb108f100321e3347f1abe98b3d78d0c71-30
176,60d38778adbbeeac88f741b833cbb9877228eea0,9787b715a9ea9ef26be9c03bb49664e357e279c9,5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xda7323c9df63891b7ee998447763e9375e7fb02fae15b15b9042e7c623abb72c-124
546,77350e1152efd5f2d807a6124015c629a907155e,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,7.5e+16,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x2e802f20dd45ed84b3c9d493553d0b1e60e5410e4f07fc4eb9b18e5854aa163c-74
657,9e30a1e5e13a2e0f2ed775bbd420fb7cb31ebebe,085627c26cdc6fa43ad562e0eb636c1cec498493,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6f9a708767663cdc33d7aa61d63a50ce0f013cdef1f0efce537f126c48028554-166
647,da5e56e6a41230ed87f39b7c65ede7a8373de403,085627c26cdc6fa43ad562e0eb636c1cec498493,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb0f31203c77886bffd302ce090be8dba22c30fc426952c7113c1a34ba2c308b5-112
643,39cc9c86e67baf2129b80fe3414c397492ea8026,085627c26cdc6fa43ad562e0eb636c1cec498493,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xa2fd5881dfaf0a75f339c0b6c73596ae8707b1fd71e01420d3fd2c9b4d54e38b-119
610,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,085627c26cdc6fa43ad562e0eb636c1cec498493,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xb03f23b58aa36469ce9a6a426c3770f719aeea23deac0ebb8609aae6167a103c-119
560,77350e1152efd5f2d807a6124015c629a907155e,085627c26cdc6fa43ad562e0eb636c1cec498493,1.984e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x5b28178c7b63a6dec07c441b4d8dcd7a678cdf1e953e648b09b68218ada66dfb-66
532,ced2662fe30d876bef52f219eeac67e2b328effc,085627c26cdc6fa43ad562e0eb636c1cec498493,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6755b7898303ef8970df4d2356ae8c524d4c54b303981bfa6dad422bcc4a1e4c-573
155,5fae9d4b591f213b3ba75287f2cfac0883d17f7a,085627c26cdc6fa43ad562e0eb636c1cec498493,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9dd9902299731294d94e97d29cb67d468abd964e7e5f3e0e966a119f05055adb-85
106,d6d6403ded517f2b7ab4fcbdc69b8718cdadb5cb,085627c26cdc6fa43ad562e0eb636c1cec498493,4.7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x45105219ced1ab1bce3d70c54e747d4071b087aa519be66f942c003335083522-54
