refid,type,tokenid,numviews,hasliked,datecreated
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,750,0,t,2018-12-04 18:40:47.167915+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,704,0,t,2018-12-04 18:40:48.433622+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,674,0,t,2018-12-04 18:40:51.133027+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,672,0,t,2018-12-04 18:40:53.81986+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,626,0,t,2018-12-04 18:40:55.103838+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,588,0,t,2018-12-04 18:40:56.425959+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,526,0,t,2018-12-04 18:40:57.743367+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,504,0,t,2018-12-04 18:40:59.074461+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,190,0,t,2018-12-04 18:41:00.528488+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,173,0,t,2018-12-04 18:41:01.7294+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,171,0,t,2018-12-04 18:41:04.515859+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,138,0,t,2018-12-04 18:41:08.105645+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,138,1,f,2018-12-04 18:40:44.413397+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,171,1,f,2018-12-04 18:40:45.107276+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,173,1,f,2018-12-04 18:40:44.386935+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,190,1,f,2018-12-04 18:40:42.803872+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,86,0,t,2018-12-04 18:41:29.210719+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,61,0,t,2018-12-04 18:41:30.439385+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,44,0,t,2018-12-04 18:41:32.05679+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,37,0,t,2018-12-04 18:41:33.116511+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,20,0,t,2018-12-04 18:41:34.512612+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1012,0,f,2018-12-04 18:41:49.775609+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1131,0,t,2018-12-04 18:41:51.971758+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1131,0,f,2018-12-04 18:41:57.968388+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,66,0,t,2018-12-04 18:42:01.686846+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,66,0,f,2018-12-04 18:42:04.171896+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,948,0,f,2018-12-04 18:42:10.028479+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,948,0,t,2018-12-04 18:42:11.287028+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1130,0,t,2018-12-04 18:42:21.567037+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1127,0,f,2018-12-04 18:42:40.099743+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1126,0,f,2018-12-04 18:42:41.953336+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1131,1,f,2018-12-04 18:41:49.569954+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,995,1,f,2018-12-04 18:38:18.149008+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1128,1,f,2018-12-04 18:42:38.034767+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,66,1,f,2018-12-04 18:42:00.194863+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1052,1,f,2018-12-04 18:40:03.807996+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,989,1,f,2018-12-04 18:40:08.337174+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,953,1,f,2018-12-04 18:40:11.993798+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,904,1,f,2018-12-04 18:40:15.903167+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,754,1,f,2018-12-04 18:40:27.178061+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,758,1,f,2018-12-04 18:40:27.160141+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,752,1,f,2018-12-04 18:40:30.953049+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1130,1,f,2018-12-04 18:42:20.333707+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1053,1,f,2018-12-04 18:38:54.735524+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1129,1,f,2018-12-04 18:42:36.14606+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,588,1,f,2018-12-04 18:40:37.519701+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,44,1,f,2018-12-04 18:40:47.109834+01
71bd22a3bae97aea92da6016c6493294,fingerprint,29,1,f,2018-12-04 18:38:07.343645+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1125,0,f,2018-12-04 18:42:44.24121+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1124,0,f,2018-12-04 18:42:46.9421+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1104,0,f,2018-12-04 18:42:49.208097+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1123,0,f,2018-12-04 18:42:52.179943+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1120,0,f,2018-12-04 18:42:58.016706+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1119,0,f,2018-12-04 18:43:00.278298+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1117,0,f,2018-12-04 18:43:03.046719+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1129,0,t,2018-12-04 18:43:24.963109+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1128,0,t,2018-12-04 18:43:37.85969+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1127,0,t,2018-12-04 18:43:43.334394+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1124,0,t,2018-12-04 18:43:47.7067+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1123,0,t,2018-12-04 18:43:51.405126+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1122,0,t,2018-12-04 18:43:53.699337+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1122,1,f,2018-12-04 18:42:54.100826+01
60d38778adbbeeac88f741b833cbb9877228eea0,ethAddress,1129,0,t,2018-12-04 19:00:48.953465+01
9aeebc50140bfffed4879b9898d451bf,fingerprint,948,0,f,2018-12-04 18:44:34.197023+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1012,0,f,2018-12-04 19:00:54.780713+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1121,0,t,2018-12-04 18:43:12.485685+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1121,1,f,2018-12-04 18:42:30.132114+01
9aeebc50140bfffed4879b9898d451bf,fingerprint,1131,0,f,2018-12-04 18:44:57.183512+01
9b5ea8f22bd1a60b48c2a0aeab7b18ef,fingerprint,1012,0,f,2018-12-04 18:50:27.398239+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,ethAddress,1012,0,t,2018-12-04 18:50:30.536424+01
9b5ea8f22bd1a60b48c2a0aeab7b18ef,fingerprint,1093,0,f,2018-12-04 18:50:36.5157+01
9b5ea8f22bd1a60b48c2a0aeab7b18ef,fingerprint,1081,0,f,2018-12-04 18:51:52.270972+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,ethAddress,1081,0,t,2018-12-04 18:51:53.731496+01
9b5ea8f22bd1a60b48c2a0aeab7b18ef,fingerprint,954,0,f,2018-12-04 18:52:23.087688+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,ethAddress,954,0,t,2018-12-04 18:52:24.031663+01
9b5ea8f22bd1a60b48c2a0aeab7b18ef,fingerprint,987,0,f,2018-12-04 18:52:46.75194+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,ethAddress,987,0,t,2018-12-04 18:52:47.871924+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,920,1,f,2018-12-04 19:06:15.734699+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1099,0,f,2018-12-04 18:55:24.9604+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,1099,0,t,2018-12-04 18:55:28.929921+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,834,0,f,2018-12-04 18:56:14.356369+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,834,0,t,2018-12-04 18:56:16.214229+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1115,0,f,2018-12-04 18:56:43.108556+01
60d38778adbbeeac88f741b833cbb9877228eea0,ethAddress,1012,0,t,2018-12-04 19:00:56.918603+01
ebbfaed6f9a2a8c2195b6af2c0bd64da,fingerprint,1012,1,f,2018-12-04 18:56:52.005187+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1114,1,f,2018-12-04 18:56:47.313807+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,1114,0,t,2018-12-04 18:57:11.608642+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1058,0,f,2018-12-04 18:57:16.694982+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,1058,0,t,2018-12-04 18:57:18.313769+01
ebbfaed6f9a2a8c2195b6af2c0bd64da,fingerprint,1131,1,f,2018-12-04 18:57:29.484498+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,995,0,t,2018-12-04 18:57:59.734397+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,893,0,f,2018-12-04 18:58:02.939139+01
