tokenId,currentPrice
2019,
2045,2
2070,0.8
2076,
1808,
1950,
2047,
2060,1.6180339
2054,0.6
2053,
2071,1.25
2052,
2048,
2044,
1985,25
2055,0.6
2016,
1927,0.7
1998,0.5
1991,
2072,
2084,
2075,1
1555,2
2088,1.2
2081,0.8
2063,
2003,0.3008
2094,
2087,
2091,
2068,
2098,
2089,0.7
2205,1
2099,1
2122,
2020,
2123,25
2102,
2155,0.5
2103,1
2104,3.141592
2209,1
2105,1
2231,
2178,
2187,
2172,3
2096,
1806,0.1
2150,
2148,0.9
2161,
2108,1
2193,0.2
1995,
2133,
2124,
2095,
2111,1.28
2147,
2196,
2164,0.25
2107,
2158,
2157,
2069,
2112,
2159,1.3
2106,
2160,1.3
2200,
2120,0.666
2125,1
2154,0.5
2049,
2128,2
2130,1
2129,1
2210,
2131,0.8
2191,4
2134,
2138,0.4
2176,
2121,
2153,1
2212,
2135,1.28
2173,
2119,1.14
2137,1
2113,
2139,
2163,
2141,
2165,0.25
2027,
1156,
2219,0.8
2126,0.5
2127,
2142,1
2144,
1993,
2145,2
2208,1
2156,
2206,1
2114,
2115,0.5
2143,
2195,1.2
2146,1.010101
2116,
2149,
2192,0.7
2184,
2151,1.2
2152,1.28
2171,
2197,
2169,2
2077,
2170,1
2166,
2110,
2232,0.75
2174,1
2224,0.75
2097,
2217,
2215,
2177,1.8
2136,
1514,
2132,1.5
2179,1
2214,
2118,
2201,
2218,0.4
2229,1.5
2227,
2198,1.5
2100,
2185,4
2211,
1938,
2167,
2230,2
2117,
2220,
2226,
1818,
2194,
2189,0.55
2188,0.55
2182,
2202,
2199,
2204,1.28
2181,
2162,
2203,
2233,2
2175,2
2109,1.2
2223,
2221,1.28
2216,
2186,
2222,
2225,
2207,
2228,3
2190,0.6
2101,
2234,1.28
2297,2.2
2356,0.9
2235,2
2333,1
2305,0.8
2180,
2239,31.4159
2298,1.5
2262,1
31,
2286,
2299,
2244,
2246,17.0794684453471
2247,17.0794684453471
2339,0.5
2248,1.5
2359,
2331,1.01010101
2253,
2252,0.5
2303,0.5
2238,
2330,1.01010101
2283,
2341,2
2312,0.5
2337,
2254,
2256,1.2
2257,
1293,
2243,
2258,
2259,
2260,
2292,
2251,3
2245,
2263,
2264,3
2291,
2267,2.35
2249,
2268,7
2343,1
2261,
2302,0.75
2250,
2241,
2269,
2270,
2271,
2272,
2275,
2293,3
2344,1
2295,
2310,1
2308,1
2274,
2279,2.1
2353,100000
2318,
2282,1.2
2361,2
2285,1.9
2281,
2313,
2347,3
2307,
2273,
2240,
2374,1.95
2315,3
2266,
2375,
2322,
2325,0.1
2284,
2276,
2320,1.8
2317,
2354,
2294,2
2346,1.2
2304,
2316,
2389,0.25
2358,10
2362,1
2324,2.5
2378,
2376,1.95
2290,
2278,
2388,0.1
2351,1.28
2306,
2300,
2352,
1970,
2377,
2340,2.1
2332,0.5
2334,0.5
2335,0.1
2367,0.85
2242,
2311,10
2365,0.25
2373,
2348,2
2255,0.5
2355,
2345,
2314,
2296,1.2
2280,0.45
2379,
2328,
2370,1.25
2301,
2342,2
2357,0.5
2327,1
2236,1.2
2309,1
2349,1.2
2319,
2364,0.35
2387,0.18
2371,2.95
2372,1.95
2277,20
2369,
2329,
2385,1.7
2366,
2381,3
2368,
2530,1.02
2395,1
2465,0.1
2398,0.24
2350,100000
2400,0.18
2409,5
2394,2.95
2392,
2390,1.95
2386,1.95
2384,1.95
2383,1.95
2382,1.95
2407,1.5
2410,2
2508,0.5
2480,
2415,3
2492,0.5
2463,
2532,0.82
2413,2.95
2412,2.95
2411,2.95
2464,
2479,
2456,1.5
2420,1.99
2421,0.75
2531,
2460,
2534,
727,1000000
2402,0.85
2424,
2423,3
2397,
2525,0.5
2433,
2427,1.49
2428,1.59
2429,1.69
2363,0.25
2494,
2430,2
2431,2
2432,2
35,2
2512,0.25
2537,
2414,
2434,
2451,1.2
2468,1.2
2064,100
2477,0.2
2538,
2438,2.35
2439,2.5
2440,
2511,0.25
2441,
2422,
2473,
2474,
2444,1.27
2472,
2475,
2476,
2471,
2446,3
2448,
2447,3
2526,1
2450,1
2396,1
2442,1.5
2478,
2452,3.1
2496,0.15
2540,
2403,
2435,0.9
2437,2
2524,
2457,2
2458,1.28
2470,
2459,
2417,
2515,
2539,
2498,0.15
2518,0.45
2481,0.99
2482,0.99
2483,0.99
4,
1363,
2453,0.5
2502,1.19
2418,0.6
2393,2
2493,
2487,1
519,
2485,1.28
2527,1.01
2488,2
2489,
2443,0.26
2484,0.9
2501,2.22
2528,
2500,1.37
2513,0.4
2533,0.5
2490,1
2491,1
2535,
2455,2.3
2503,0.26
2504,0.26
2505,
2445,2
2516,1.2
2510,
2449,
2454,2.3
2467,2
2495,1000
2506,1.99
2507,2
2509,
2469,
2486,1
2399,
2517,1.8
2499,0.25
2519,5
2520,0.8
2522,
2462,
2461,
2416,
2436,
2380,
2391,
2401,
2529,1.28
2408,5
2521,1.5
2536,
2523,0.7
2542,
2543,
2544,
2545,
2546,
2547,
2548,
2622,
2549,
2550,
2623,
2551,0.26
2553,
2554,
2555,
2557,
2558,
2556,1.2
2559,
2621,0.5
2514,
2659,0.6
2560,
2561,
2562,
2564,
2497,
2565,
2567,
2541,
2568,1.03
2625,0.3
2679,3
2552,
2572,3
2626,1.06
2419,0.33
2577,2.53
2566,
2661,
