tokenId,currentBidder,currentBid
709,dc19d539369c3da9172de453c05bc503c9ac6bc2,0.55
754,,
679,,
770,,
663,,
812,,
801,,
802,,
707,,
804,,
826,,
735,,
794,,
796,,
693,,
806,,
813,,
657,,
546,,
752,,
777,,
650,,
820,,
736,,
805,,
750,,
651,,
821,,
739,,
798,,
827,,
824,,
823,,
817,,
649,,
698,,
762,,
833,,
829,,
756,,
835,,
836,,
837,,
877,,
929,,
838,,
839,,
840,,
841,,
842,,
882,f2939a3fda65f0c4803b76125356b9778df2f6df,0.01
845,,
955,,
768,,
88,,
961,,
815,6954d0255cfed71d55ad8b371b4170b8bf7709dc,0.11
849,,
529,3441e4f268367da8c998eb96854b8892bb1026dd,0.4
208,3441e4f268367da8c998eb96854b8892bb1026dd,0.35
850,,
851,,
852,,
881,,
899,,
878,,
12,,
831,,
765,,
731,,
424,9993d3a6d5a26f1d37220fcb16947a8b16998c9f,0.3
857,,
742,,
906,,
876,,
715,,
913,,
903,,
844,b2f4b16595e02a9721f97e3e30fb5bbbf73f5f54,0.15
894,,
862,,
702,,
139,,
884,,
855,,
928,,
919,,
948,,
865,,
921,,
864,,
896,,
872,,
846,,
834,,
875,,
673,,
954,,
949,,
787,,
858,,
953,,
860,,
784,,
863,,
889,,
856,,
935,,
871,d1d9ad34fa978116394516913e4ce2b6a4a389d6,0.1
957,,
818,,
904,,
914,,
819,,
866,,
853,,
946,,
964,,
879,,
892,,
897,,
670,,
874,,
943,,
951,,
960,,
859,,
867,,
920,,
910,,
869,,
923,,
931,,
941,,
873,,
868,,
645,,
861,,
916,,
917,,
926,,
918,,
901,,
927,,
832,,
915,,
936,,
848,,
893,,
909,,
618,,
945,,
925,,
887,,
922,,
907,,
854,,
952,,
938,,
940,,
911,,
204,7dec37c03ea5ca2c47ad2509be6abaf8c63cdb39,0.37
947,,
912,,
885,,
890,,
958,,
908,,
942,,
924,b2f4b16595e02a9721f97e3e30fb5bbbf73f5f54,0.175
880,,
898,,
956,,
883,,
959,,
963,,
934,,
886,,
937,,
1031,,
1050,,
966,,
987,,
703,,
