tokenId,amount,contractAddress,id
70,8e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x22e8c317c0b52d387ca791df1e32ddb1c446c9720fa76bb37f7c326220d1975a-126
16,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6a208773de6fa29d3bbd0390ebee89445d344e2d33db72d1c31173d9a1166f90-7
11,2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7b544b75b37ed1f85bb4fd9515c8a8abc133673622067261031f0617b4a65a73-84
5,1.5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xf7275ecb6e4faa46de6fe889376d10c46205f1ea9ef1d35d1b5b771f14fdae61-80
8,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7f0c859c4a118b8c81899f18bef1c8290169c66578e79f88159f70532bb8b157-154
6,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x910f04bd0130d3496a902d24350dda45199aa8e88f63cbb6784132e3c631f764-84
9,7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x83785fdf1838eff8bb5f7169d721c7b3e35f81dc5db707987ac336a48993015b-73
10,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc02aed0de694b22f5be3e4044a362a7ffff5fa776c7d89c4dc99075de0b6ec74-186
40,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x010b60b40514f7ba18ae089c7316cd41e069b618efe9690e877fa0c8e926b69c-160
43,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x81c70e93ff1964564b99b29f9779c0d5940614cd6fd4fa9b7623d4863dcff120-97
79,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x719fb5ad5a846cf6f85273f08dc57567e124d06670a65835864e07193143ceba-172
90,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xc12e56c7f52937a0dd159ba7d725ee00786f00c86038395c5fba983a7a02d7af-147
79,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xe6060f1659e972d258eebde761cb5a5f5bd2dfaf1e0429b02d3896b679d9da1a-121
85,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x7f80fc3ef7519dd1b3a4446d4a296f5e6105d8fca8296a8f63efaba4e0de2b7a-25
91,1e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0xd561ca5112f1f73c9bc71721894abe425f9e5cb1018a0a56d6c9aab388d7594e-130
92,1.5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x018f047db7d6312b4d9d857cf49a5218b7d54eb47e460f3691656ff81363d662-110
93,1.5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x87675742547be5ae92ca31649eb2e8f76c5a7f13b38b1b4292f64f686387a249-137
94,4.2e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x72294613c9f2cbdacc3ef0080ef6e945ab7659e51f7da92559145ea36b5ddccc-147
71,5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x6846816820524200f06233e12135da4e8bfe86a4f10cb9acecb908c04050d1e5-115
80,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9df4f5ff6b043c633b21360121268e809346ede1c8f5e2c5603492fd2b71bd29-106
81,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x8ec1294f8030d9136a8783166d74bdbd887276c9a860cdf190111188890a5b8b-79
82,2.5e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9778f73c5fe9381f732af3aa4162d161df81703cbc362647f68bd00b88123ca4-80
98,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x5c402792cff5aa4b1810e622ab2e504da57b5f912f2cbd882784f6342448754f-32
99,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x5c402792cff5aa4b1810e622ab2e504da57b5f912f2cbd882784f6342448754f-34
97,3e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9057778732cdac5cae35cc0550486e10aad7d066be5668ae757a89c50bc96272-73
59,5e+18,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x66e8a060180ee1991643a8cdaa68634683049ad67a1ad89d46dab67365d2e38a-20
106,4.7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x9c380880aeb065d82a8a73cf722cabb572963555f23a165f3cca487d6f95ed0d-41
106,4.7e+17,41a322b28d0ff354040e2cbc676f0320d8c8850d,0x50ac3d94085965a88abe9ca5026ad3d06efcadb57df5bcbe49ac4b7bcde1e4c5-108
