address,tokenId,dateCreated
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,686,2018-12-04 18:36:33.936365+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,690,2018-12-04 18:36:38.839832+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,703,2018-12-04 18:36:43.200339+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,704,2018-12-04 18:36:46.97752+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,873,2018-12-04 18:36:55.276925+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,887,2018-12-04 18:37:09.364713+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,875,2018-12-04 18:37:10.563079+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,811,2018-12-04 18:37:13.856062+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,737,2018-12-04 18:37:18.076594+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,736,2018-12-04 18:37:21.930102+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,872,2018-12-04 18:37:00.322897+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,118,2018-12-04 18:37:21.953643+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,720,2018-12-04 18:37:25.751138+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,589,2018-12-04 18:37:30.444078+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,160,2018-12-04 18:37:46.151415+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,119,2018-12-04 18:37:26.453263+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,907,2018-12-04 18:37:33.284076+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,533,2018-12-04 18:37:37.238677+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,498,2018-12-04 18:37:41.307316+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,69,2018-12-04 18:37:58.546614+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,29,2018-12-04 18:38:09.602734+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,76,2018-12-04 18:37:54.256409+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,53,2018-12-04 18:38:03.184758+01
