tokenId,thumbnail,standard
28,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=150&h=150&gifq=100&s=d47980590a54bd99f6b065a77d746bd3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=400&gifq=100&s=70af4b0bb92ce824c934f073f8bb35e5
29,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmSVDFANiJWiMQ4JkJiTwSRsVPS7i2JQ1nJfEdy8wxATwV?w=150&h=150&gifq=100&s=e922a024b289c9d217d81fa850ef8c7d,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmSVDFANiJWiMQ4JkJiTwSRsVPS7i2JQ1nJfEdy8wxATwV?w=400&gifq=100&s=d52499c046d79b1fe85c4c067cece1ad
20,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=150&h=150&gifq=100&s=f390ff4ea8fbb75b4b7a7245adf21f5c,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQHp1zAKRZikhKky1daJu1vMYZLSUviUJbrhhU36GXUbM?w=400&gifq=100&s=684b68b9c451bc09f935be817bd48323
26,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=150&h=150&gifq=100&s=d47980590a54bd99f6b065a77d746bd3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUaqXfj12tirtSCmyz79J4ZPsX9A6P6RSuADS8zZBSCqZ?w=400&gifq=100&s=70af4b0bb92ce824c934f073f8bb35e5
31,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
32,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
33,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
34,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
35,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
36,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
